student_id,attendance,midterm_marks,assignment_score,lab_performance,mathematics,programming,dbms,english,operating_systems,performance_label
STU1132,50,29,23,28,23,16,34,24,42,Weak
STU1133,71,67,68,54,63,60,66,50,49,Average
STU1134,87,84,71,74,72,74,80,75,61,Good
STU1135,85,60,83,68,78,78,70,69,70,Good
STU1136,91,66,72,67,81,59,82,76,81,Good
STU1137,92,75,83,94,97,93,80,94,88,Excellent
STU1138,63,28,45,21,38,23,26,27,34,Weak
STU1139,85,67,74,71,62,60,77,66,71,Good
STU1140,65,46,59,63,46,51,58,61,51,Average
STU1141,76,59,59,60,65,58,49,65,58,Average
STU1142,75,50,55,69,59,64,53,59,50,Average
STU1143,61,29,35,26,34,37,43,40,39,Weak
STU1144,43,34,40,26,26,33,33,27,35,Weak
STU1145,92,79,71,67,77,67,66,78,73,Good
STU1146,62,56,60,46,44,44,52,52,64,Average
STU1147,81,74,81,68,81,70,77,62,75,Good
STU1148,86,61,67,74,61,80,72,74,77,Good
STU1149,64,46,26,33,37,43,47,36,46,Weak
STU1150,96,99,95,91,92,99,87,99,84,Excellent
STU1151,60,61,50,57,55,63,59,48,59,Average
STU1152,90,60,78,79,68,72,76,65,71,Good
STU1153,35,26,43,33,41,25,47,32,19,Weak
STU1154,94,63,72,84,81,78,78,74,73,Good
STU1155,76,84,73,81,62,81,65,66,64,Good
STU1156,76,53,50,64,67,56,51,47,59,Average
STU1157,76,68,50,47,47,52,65,59,66,Average
STU1158,73,49,49,55,50,63,44,53,44,Average
STU1159,41,29,28,34,25,39,22,30,44,Weak
STU1160,89,65,72,69,75,75,65,66,75,Good
STU1161,64,57,64,62,49,52,60,47,65,Average
STU1162,67,57,60,45,47,63,60,60,49,Average
STU1163,90,68,77,75,72,78,69,65,65,Good
STU1164,79,70,77,83,82,67,69,72,80,Good
STU1165,77,48,49,58,54,51,48,46,54,Average
STU1166,76,53,64,52,43,63,54,47,57,Average
STU1167,98,81,89,88,79,89,82,96,81,Excellent
STU1168,78,77,68,81,71,79,76,71,81,Good
STU1169,92,77,78,79,71,61,62,81,71,Good
STU1170,95,75,85,94,92,93,88,100,100,Excellent
STU1171,88,61,68,81,62,70,68,68,74,Good
STU1172,70,64,49,59,55,59,63,55,44,Average
STU1173,57,48,40,34,33,19,44,39,23,Weak
STU1174,64,47,48,50,56,41,44,61,66,Weak
STU1175,77,59,59,60,49,53,66,61,62,Average
STU1176,88,77,84,71,62,69,80,64,79,Good
STU1177,73,51,64,56,61,43,50,50,57,Average
STU1178,61,68,55,55,54,56,49,65,59,Average
STU1179,77,58,62,50,52,52,66,45,47,Average
STU1180,40,41,38,43,26,31,29,44,31,Weak
STU1181,100,96,99,80,87,82,95,75,79,Excellent
STU1182,68,57,48,57,61,65,63,51,43,Average
STU1183,55,33,45,37,32,16,27,42,29,Weak
STU1184,95,77,85,88,83,83,84,83,95,Excellent
STU1185,37,37,47,49,37,44,32,46,24,Weak
STU1186,75,48,53,66,67,42,50,54,55,Average
STU1187,90,86,91,92,90,93,96,97,91,Excellent
STU1188,82,82,83,76,77,63,77,80,81,Good
STU1189,83,62,74,83,62,79,74,62,66,Good
STU1190,79,49,51,56,61,63,59,61,60,Average
STU1191,63,65,49,48,43,54,43,48,47,Average
STU1192,78,63,69,56,44,52,59,52,62,Average
STU1193,62,52,51,60,64,49,53,58,55,Average
STU1194,64,49,53,57,50,61,56,58,65,Average
STU1195,79,46,54,50,58,64,66,46,44,Average
STU1196,60,52,59,68,45,52,64,59,52,Average
STU1197,43,35,29,48,27,26,47,28,18,Weak
STU1198,82,70,76,65,84,79,79,72,64,Good
STU1199,86,64,81,81,83,69,74,76,65,Good
STU1200,94,77,78,66,68,62,79,62,82,Good
STU1201,79,80,69,65,76,76,73,73,69,Good
STU1202,92,83,75,66,84,75,66,76,70,Good
STU1203,71,50,67,67,54,59,57,62,51,Average
STU1204,67,62,68,45,64,47,47,49,56,Average
STU1205,76,60,75,74,77,75,76,69,74,Good
STU1206,71,52,61,48,42,40,60,60,55,Average
STU1207,79,68,66,82,65,66,60,70,75,Good
STU1208,72,53,58,48,43,45,55,48,47,Average
STU1209,76,77,77,73,82,76,72,72,60,Good
STU1210,90,81,100,94,78,86,84,89,98,Excellent
STU1211,75,76,81,67,71,63,70,64,67,Good
STU1212,69,46,61,53,44,60,67,52,57,Average
STU1213,57,40,48,45,42,26,22,21,33,Weak
STU1214,71,48,62,55,57,62,47,58,59,Average
STU1215,70,57,68,67,52,62,57,59,62,Average
STU1216,54,23,30,38,32,18,38,32,39,Weak
STU1217,88,63,80,84,73,72,62,69,75,Good
STU1218,98,92,81,96,90,78,88,81,89,Excellent
STU1219,87,66,81,74,69,81,63,81,63,Good
STU1220,90,75,91,92,87,89,90,97,99,Excellent
STU1221,51,47,28,45,26,29,27,43,43,Weak
STU1222,84,67,80,81,64,61,77,80,63,Good
STU1223,84,84,82,83,63,67,60,79,64,Good
STU1224,77,71,66,65,82,78,76,83,75,Good
STU1225,77,66,75,74,68,71,72,63,62,Good
STU1226,77,47,57,66,48,48,58,55,48,Average
STU1227,88,78,68,70,69,64,72,75,63,Good
STU1228,85,78,82,88,85,75,83,83,84,Excellent
STU1229,85,76,84,91,98,82,83,82,95,Excellent
STU1230,71,47,69,50,43,62,53,46,47,Average
STU1231,61,67,67,52,63,51,67,48,46,Average
STU1232,89,84,80,74,84,80,75,73,76,Good
STU1233,82,79,67,80,72,80,78,69,81,Good
STU1234,30,44,49,40,37,20,39,37,25,Weak
STU1235,60,65,63,56,47,59,43,58,45,Average
STU1236,92,72,66,73,80,59,68,62,70,Good
STU1237,52,45,23,37,40,20,20,41,28,Weak
STU1238,64,64,57,56,56,56,51,50,59,Average
STU1239,69,58,53,47,57,46,61,58,50,Average
STU1240,77,61,66,67,77,71,79,79,69,Good
STU1241,54,48,41,20,21,45,31,20,31,Weak
STU1242,32,22,28,25,42,27,38,21,25,Weak
STU1243,63,69,62,48,54,51,54,58,61,Average
STU1244,80,70,66,83,78,62,78,63,69,Good
STU1245,85,77,79,73,82,76,68,64,80,Good
STU1246,98,88,98,86,93,90,78,78,81,Excellent
STU1247,46,24,26,47,37,43,37,23,45,Weak
STU1248,64,26,46,47,39,28,24,24,46,Weak
STU1249,61,65,69,50,56,60,51,67,65,Average
STU1250,60,57,68,62,54,60,62,62,46,Average
STU1251,46,22,36,47,28,45,38,39,40,Weak
STU1252,98,78,81,99,93,92,85,77,86,Excellent
STU1253,65,54,68,54,54,56,50,61,65,Average
STU1254,75,61,80,65,69,75,67,82,70,Good
STU1255,67,66,55,61,56,56,64,68,54,Average
STU1256,86,60,69,72,72,65,82,72,60,Good
STU1257,92,77,96,84,97,95,85,100,91,Excellent
STU1258,44,38,26,38,45,33,28,45,22,Weak
STU1259,67,54,53,59,57,56,49,52,66,Average
STU1260,44,37,22,36,21,44,21,33,26,Weak
STU1261,77,54,68,48,53,47,43,66,54,Average
STU1262,75,46,58,54,56,56,49,62,64,Average
STU1263,92,88,97,99,97,95,89,93,91,Excellent
STU1264,89,77,86,96,89,83,92,92,98,Excellent
STU1265,67,58,55,58,48,62,53,55,63,Average
STU1266,72,62,49,65,56,59,59,59,60,Average
STU1267,86,72,75,69,60,81,62,83,78,Good
STU1268,81,71,79,69,74,65,69,77,67,Good
STU1269,79,62,65,68,67,60,69,63,70,Average
STU1270,88,66,66,73,75,70,68,81,63,Good
STU1271,94,100,91,96,91,88,79,95,97,Excellent
STU1272,93,82,70,83,64,61,74,65,79,Good
STU1273,62,49,53,65,63,47,48,65,51,Average
STU1274,63,69,60,64,58,62,48,48,55,Average
STU1275,64,60,67,48,65,63,43,62,60,Average
STU1276,93,76,78,83,81,81,72,73,65,Good
STU1277,78,78,80,77,63,80,76,62,77,Good
STU1278,91,74,75,77,60,74,65,65,79,Good
STU1279,74,50,62,58,52,46,50,60,46,Average
STU1280,84,77,67,77,70,74,81,74,65,Good
STU1281,72,63,68,63,51,42,55,63,46,Average
STU1282,49,36,40,29,22,18,23,45,21,Weak
STU1283,91,92,82,80,81,80,86,96,91,Excellent
STU1284,79,68,51,65,65,51,51,66,48,Average
STU1285,88,83,74,80,75,79,69,74,65,Good
STU1286,97,78,90,99,95,100,88,99,98,Excellent
STU1287,60,51,53,59,59,63,52,64,65,Average
STU1288,66,65,57,56,65,53,66,49,62,Average
STU1289,77,82,69,81,78,76,80,73,68,Good
STU1290,89,78,89,86,99,97,78,91,79,Excellent
STU1291,85,68,71,81,76,59,65,75,65,Good
STU1292,39,40,24,21,39,30,42,21,27,Weak
STU1293,75,63,54,66,53,63,56,52,47,Average
STU1294,39,22,51,38,34,21,38,39,43,Weak
STU1295,88,79,79,72,80,72,81,81,73,Good
STU1296,83,67,81,66,84,81,62,69,71,Good
STU1297,79,47,53,51,61,62,66,62,52,Average
STU1298,78,55,59,54,49,63,50,48,46,Average
STU1299,68,59,62,60,55,47,59,54,61,Average
STU1300,61,51,63,47,54,42,59,55,49,Average
STU1301,60,67,55,49,57,50,46,48,47,Average
STU1302,48,28,31,30,31,37,33,20,30,Weak
STU1303,50,49,32,21,21,42,23,45,44,Weak
STU1304,79,84,67,65,63,77,61,66,62,Good
STU1305,83,79,70,82,65,76,71,72,61,Good
STU1306,38,40,43,21,39,17,29,47,43,Weak
STU1307,75,80,67,84,61,66,78,76,77,Good
STU1308,75,66,64,49,53,50,56,47,42,Average
STU1309,100,76,81,82,85,98,92,81,83,Excellent
STU1310,30,27,42,42,20,18,43,44,32,Weak
STU1311,77,84,78,84,73,61,71,78,66,Good
STU1312,42,34,37,38,18,20,44,46,40,Weak
STU1313,76,83,78,70,73,61,80,69,62,Good
STU1314,88,79,81,72,83,71,65,83,75,Good
STU1315,73,63,50,54,60,48,61,57,48,Average
STU1316,68,67,66,59,61,53,65,50,62,Average
STU1317,67,61,56,45,65,59,66,58,52,Average
STU1318,93,88,88,83,81,82,79,83,91,Excellent
STU1319,90,76,80,76,62,68,73,79,80,Good
STU1320,64,60,67,49,44,51,42,65,50,Average
STU1321,33,22,36,21,41,15,25,32,40,Weak
STU1322,86,81,76,78,74,72,68,80,79,Good
STU1323,82,80,83,70,79,76,63,68,63,Good
STU1324,87,62,76,66,83,59,82,70,60,Good
STU1325,80,65,82,81,71,63,67,80,69,Good
STU1326,58,32,36,22,25,28,20,35,30,Weak
STU1327,76,57,53,61,55,56,49,55,61,Average
STU1328,94,81,100,100,94,84,88,96,86,Excellent
STU1329,79,76,73,81,83,78,78,68,82,Good
STU1330,42,30,33,38,28,27,31,32,18,Weak
STU1331,93,71,72,72,80,70,71,77,60,Good
STU1332,57,45,24,27,42,41,31,42,30,Weak
STU1333,49,37,37,21,21,44,18,23,35,Weak
STU1334,99,82,99,96,78,86,96,89,86,Excellent
STU1335,58,28,29,21,36,25,30,29,31,Weak
STU1336,68,69,54,47,61,45,62,46,47,Average
STU1337,59,27,21,36,26,44,29,22,28,Weak
STU1338,72,59,52,65,58,64,64,68,66,Average
STU1339,89,96,90,97,81,77,90,97,86,Excellent
STU1340,86,61,67,67,71,72,68,69,70,Good
STU1341,63,45,54,46,65,44,48,48,46,Weak
STU1342,30,34,39,38,46,24,45,37,45,Weak
STU1343,99,85,96,96,83,79,85,76,93,Excellent
STU1344,86,65,65,68,76,70,77,66,62,Good
STU1345,33,45,46,33,39,25,44,29,36,Weak
STU1346,95,89,100,89,82,100,82,84,82,Excellent
STU1347,65,48,65,53,58,52,56,64,58,Average
STU1348,90,81,68,69,64,66,76,74,61,Good
STU1349,93,62,74,66,72,76,76,82,73,Good
STU1350,71,55,54,48,60,40,65,47,54,Average
STU1351,70,48,66,61,44,57,49,66,66,Average
STU1352,78,49,54,65,49,44,58,49,45,Average
STU1353,56,40,21,30,39,27,32,31,39,Weak
STU1354,95,81,84,96,97,83,91,100,89,Excellent
STU1355,48,45,35,31,29,34,23,42,43,Weak
STU1356,70,45,62,55,66,58,59,61,60,Average
STU1357,56,37,47,38,32,45,32,23,24,Weak
STU1358,38,27,39,32,34,31,34,20,25,Weak
STU1359,90,77,84,92,92,88,100,90,95,Excellent
STU1360,70,47,69,54,51,60,57,56,43,Average
STU1361,77,83,79,67,78,75,67,78,67,Good
STU1362,81,62,65,68,84,62,60,76,64,Good
STU1363,92,79,88,80,81,77,79,82,100,Excellent
STU1364,73,58,51,50,52,42,49,47,55,Average
STU1365,61,21,32,48,36,41,23,35,19,Weak
STU1366,91,76,89,95,83,76,79,100,90,Excellent
STU1367,61,51,50,52,64,53,65,67,63,Average
STU1368,81,60,81,73,80,70,80,80,80,Good
STU1369,91,82,74,74,63,65,81,81,79,Good
STU1370,73,62,61,64,62,63,56,66,45,Average
STU1371,91,82,97,91,100,88,79,92,79,Excellent
STU1372,68,56,64,59,66,56,67,62,63,Average
STU1373,77,52,56,50,46,51,66,55,66,Average
STU1374,93,68,66,76,63,61,77,76,78,Good
STU1375,91,65,80,76,78,62,76,62,82,Good
STU1376,91,95,100,90,90,79,78,98,89,Excellent
STU1377,88,89,88,100,97,93,96,86,82,Excellent
STU1378,89,96,95,86,86,77,92,90,95,Excellent
STU1379,62,56,56,51,50,52,59,49,54,Average
STU1380,76,75,73,73,65,68,81,83,60,Good
STU1381,72,57,49,53,65,47,48,48,59,Average
STU1382,65,56,59,65,49,61,63,45,45,Average
STU1383,95,77,92,96,99,96,87,95,89,Excellent
STU1384,94,88,92,84,83,98,79,96,94,Excellent
STU1385,94,77,82,94,83,91,89,96,97,Excellent
STU1386,95,99,83,85,78,94,100,90,92,Excellent
STU1387,86,81,74,79,68,59,64,67,66,Good
STU1388,89,99,80,86,97,99,89,90,93,Excellent
STU1389,78,72,71,68,74,76,68,72,67,Good
STU1390,67,57,69,48,49,42,50,46,43,Average
STU1391,74,67,59,48,67,47,50,67,46,Average
STU1392,79,62,58,59,63,48,58,56,48,Average
STU1393,94,99,89,92,96,85,90,95,85,Excellent
STU1394,74,55,58,45,58,54,61,50,65,Average
STU1395,74,53,61,62,67,56,59,49,61,Average
STU1396,70,68,69,45,59,45,43,59,62,Average
STU1397,35,25,49,41,47,32,31,29,31,Weak
STU1398,77,65,72,76,72,68,71,62,76,Good
STU1399,42,37,30,47,29,20,26,35,21,Weak
STU1400,55,49,44,31,28,19,42,37,36,Weak
STU1401,80,81,82,70,63,69,78,63,76,Good
STU1402,45,21,21,42,25,27,27,27,21,Weak
STU1403,75,70,71,81,79,81,77,83,81,Good
STU1404,64,54,51,49,51,50,62,68,51,Average
STU1405,76,82,72,80,81,62,62,73,72,Good
STU1406,88,83,81,98,78,99,84,91,80,Excellent
STU1407,77,62,81,71,73,74,77,74,79,Good
STU1408,92,63,65,82,60,70,79,81,82,Good
STU1409,70,53,56,49,67,40,58,66,43,Average
STU1410,68,48,52,55,65,58,62,47,53,Average
STU1411,78,57,54,59,64,46,67,52,46,Average
STU1412,78,82,74,84,74,75,79,74,67,Good
STU1413,93,75,71,78,73,61,74,64,64,Good
STU1414,74,68,55,48,43,63,65,54,45,Average
STU1415,91,82,84,77,64,78,68,83,65,Good
STU1416,94,82,86,86,83,95,97,77,96,Excellent
STU1417,88,86,85,98,81,89,86,79,90,Excellent
STU1418,92,64,80,83,73,73,74,83,63,Good
STU1419,51,40,41,40,25,31,33,46,40,Weak
STU1420,69,46,56,61,52,49,63,69,58,Average
STU1421,79,59,68,49,47,56,42,69,60,Average
STU1422,83,83,66,72,74,64,65,62,74,Good
STU1423,66,69,64,46,50,48,54,50,47,Average
STU1424,62,61,64,56,57,54,54,67,42,Average
STU1425,89,63,68,82,76,76,70,81,62,Good
STU1426,94,75,93,81,100,78,96,80,78,Excellent
STU1427,48,40,20,24,44,30,23,27,30,Weak
STU1428,64,38,31,35,44,25,27,44,37,Weak
STU1429,71,67,49,68,63,58,66,49,49,Average
STU1430,77,77,80,83,78,75,79,77,67,Good
STU1431,85,86,100,90,82,86,94,80,78,Excellent
STU1432,88,64,65,82,75,66,78,83,64,Good
STU1433,98,89,86,83,78,87,97,96,84,Excellent
STU1434,73,67,66,66,65,59,65,62,51,Average
STU1435,37,45,49,48,27,31,19,25,43,Weak
STU1436,98,83,84,97,97,83,94,91,89,Excellent
STU1437,87,84,81,82,93,76,87,80,99,Excellent
STU1438,91,81,94,85,97,83,99,94,89,Excellent
STU1439,62,59,49,65,43,61,44,50,56,Average
STU1440,68,45,63,50,50,43,43,48,42,Weak
STU1441,93,84,100,94,99,93,93,95,99,Excellent
STU1442,72,45,64,57,45,46,58,53,45,Average
STU1443,39,23,28,32,31,24,23,35,23,Weak
STU1444,86,96,97,82,97,95,92,89,81,Excellent
STU1445,83,78,81,75,84,66,69,79,79,Good
STU1446,81,76,79,84,74,58,73,66,70,Good
STU1447,82,70,82,67,60,68,75,79,75,Good
STU1448,92,65,83,68,72,81,73,64,69,Good
STU1449,73,52,66,58,51,56,50,50,52,Average
STU1450,76,45,69,49,50,57,65,65,43,Average
STU1451,70,50,55,48,59,50,46,59,59,Average
STU1452,51,30,45,44,30,18,39,26,46,Weak
STU1453,63,59,48,67,44,53,47,62,66,Average
STU1454,80,80,80,69,76,67,80,79,66,Good
STU1455,74,64,66,47,45,44,42,48,53,Average
STU1456,84,82,84,77,82,71,82,66,63,Good
STU1457,76,54,54,60,42,56,62,53,47,Average
STU1458,62,51,69,53,63,44,51,67,58,Average
STU1459,90,62,73,79,64,80,72,75,79,Good
STU1460,87,76,72,66,64,63,71,79,81,Good
STU1461,76,55,57,63,55,65,51,59,60,Average
STU1462,83,69,75,78,66,80,74,83,78,Good
STU1463,82,70,73,79,60,58,78,64,69,Good
STU1464,84,60,82,66,78,70,81,62,61,Good
STU1465,99,87,95,96,98,81,94,81,90,Excellent
STU1466,91,62,71,81,66,78,60,78,76,Good
STU1467,32,34,48,40,28,40,45,35,42,Weak
STU1468,68,68,48,69,63,55,50,63,53,Average
STU1469,83,66,78,83,78,59,68,74,74,Good
STU1470,73,69,55,62,60,55,43,52,63,Average
STU1471,74,69,55,48,56,59,66,61,54,Average
STU1472,72,57,69,59,61,49,44,63,44,Average
STU1473,82,82,68,84,70,68,70,63,76,Good
STU1474,76,83,79,80,84,61,67,70,64,Good
STU1475,66,64,64,47,46,58,53,51,50,Average
STU1476,80,76,80,67,80,61,69,66,80,Good
STU1477,69,56,57,57,52,61,57,52,49,Average
STU1478,82,72,66,76,69,69,70,76,75,Good
STU1479,86,92,91,98,100,92,94,80,92,Excellent
STU1480,62,45,60,65,67,53,54,48,48,Average
STU1481,81,80,79,79,63,80,82,67,79,Good
STU1482,79,56,48,52,42,44,63,50,62,Average
STU1483,44,24,47,43,31,32,33,25,42,Weak
STU1484,58,26,27,32,23,32,19,27,28,Weak
STU1485,56,39,31,30,46,45,44,48,27,Weak
STU1486,95,77,94,95,90,91,80,94,88,Excellent
STU1487,93,81,75,80,80,60,81,67,73,Good
STU1488,61,23,51,42,32,25,43,22,20,Weak
STU1489,69,63,51,63,52,41,51,55,66,Average
STU1490,93,82,75,78,61,80,64,66,78,Good
STU1491,92,63,81,74,79,63,73,72,70,Good
STU1492,56,42,41,37,41,37,28,40,29,Weak
STU1493,68,69,56,66,51,61,60,45,48,Average
STU1494,74,52,59,66,63,57,56,61,55,Average
STU1495,94,77,80,65,82,68,74,73,67,Good
STU1496,59,25,22,47,41,40,47,32,30,Weak
STU1497,76,50,49,48,63,65,52,52,53,Average
STU1498,94,67,72,81,79,77,82,77,73,Good
STU1499,66,60,60,59,65,55,62,67,65,Average
STU1500,38,22,38,39,22,24,34,34,40,Weak
STU1501,74,65,61,64,48,60,64,56,58,Average
STU1502,69,63,61,55,43,57,48,56,43,Average
STU1503,77,50,57,64,56,44,61,47,46,Average
STU1504,67,52,55,56,65,62,49,55,55,Average
STU1505,69,51,64,48,54,43,46,66,45,Average
STU1506,100,80,81,90,91,79,83,84,85,Excellent
STU1507,77,71,80,81,60,80,69,71,80,Good
STU1508,83,81,77,80,77,76,71,69,76,Good
STU1509,44,34,50,42,24,27,34,28,25,Weak
STU1510,92,72,80,73,71,69,65,80,66,Good
STU1511,100,92,95,86,81,99,85,87,90,Excellent
STU1512,35,38,32,44,45,40,31,41,21,Weak
STU1513,37,44,32,46,23,45,23,43,45,Weak
STU1514,77,62,77,66,75,79,65,69,82,Good
STU1515,65,58,50,54,44,51,58,49,61,Average
STU1516,68,65,67,51,63,43,54,57,51,Average
STU1517,79,64,60,61,63,43,42,45,56,Average
STU1518,82,77,77,78,67,65,74,74,66,Good
STU1519,96,99,95,81,99,92,94,81,90,Excellent
STU1520,73,62,60,55,62,60,57,67,58,Average
STU1521,79,59,56,64,51,51,62,67,61,Average
STU1522,94,68,79,65,71,60,70,63,75,Good
STU1523,89,71,65,77,73,65,67,73,60,Good
STU1524,69,63,58,51,52,56,42,65,62,Average
